origin,supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
2025-07-01,IEK,шт,7,sultan_mean59,1265,1265,21699.0,29362.39,73.559,35.317,19.121,54.438,64.585
2025-07-01,IEK,шт,7,mean28,1265,1265,21699.0,32200.0,86.239,48.394,18.923,67.316,64.585
2025-07-01,IEK,шт,7,weekly_ewma,1265,1265,21699.0,32040.403,83.993,47.658,18.167,65.826,64.585
2025-07-01,IEK,шт,7,robust_ewma,1265,1265,21699.0,29400.897,76.029,35.494,20.267,55.761,64.585
2025-07-01,IEK,шт,7,seasonal364,1265,1265,21699.0,32040.403,83.993,47.658,18.167,65.826,64.585
2025-07-01,IEK,шт,7,seasonal_blend,1265,1265,21699.0,32040.403,83.993,47.658,18.167,65.826,64.585
2025-07-01,IEK,шт,7,selected_2025,1265,1265,21699.0,29400.897,76.029,35.494,20.267,55.761,64.585
2025-07-01,IEK,м,7,sultan_mean59,89,89,13209.0,11636.729,72.208,-11.903,42.055,30.152,53.933
2025-07-01,IEK,м,7,mean28,89,89,13209.0,13655.0,83.788,3.376,40.206,43.582,53.933
2025-07-01,IEK,м,7,weekly_ewma,89,89,13209.0,13543.436,73.198,2.532,35.333,37.865,53.933
2025-07-01,IEK,м,7,robust_ewma,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933
2025-07-01,IEK,м,7,seasonal364,89,89,13209.0,13543.436,73.198,2.532,35.333,37.865,53.933
2025-07-01,IEK,м,7,seasonal_blend,89,89,13209.0,13543.436,73.198,2.532,35.333,37.865,53.933
2025-07-01,IEK,м,7,selected_2025,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933
2025-07-01,IEK,упак,7,sultan_mean59,57,57,815.0,1016.542,50.217,24.729,12.744,37.473,73.684
2025-07-01,IEK,упак,7,mean28,57,57,815.0,1084.25,65.552,33.037,16.258,49.294,73.684
2025-07-01,IEK,упак,7,weekly_ewma,57,57,815.0,1081.917,55.386,32.751,11.318,44.068,73.684
2025-07-01,IEK,упак,7,robust_ewma,57,57,815.0,931.973,59.078,14.353,22.363,36.715,73.684
2025-07-01,IEK,упак,7,seasonal364,57,57,815.0,1081.917,55.386,32.751,11.318,44.068,73.684
2025-07-01,IEK,упак,7,seasonal_blend,57,57,815.0,1081.917,55.386,32.751,11.318,44.068,73.684
2025-07-01,IEK,упак,7,selected_2025,57,57,815.0,1016.542,50.217,24.729,12.744,37.473,73.684
2025-07-01,IEK,шт,28,sultan_mean59,1265,1265,127281.0,117449.559,38.516,-7.724,23.12,15.396,33.834
2025-07-01,IEK,шт,28,mean28,1265,1265,127281.0,128800.0,37.639,1.193,18.223,19.416,33.834
2025-07-01,IEK,шт,28,weekly_ewma,1265,1265,127281.0,128161.614,35.102,0.692,17.205,17.897,33.834
2025-07-01,IEK,шт,28,robust_ewma,1265,1265,127281.0,117603.589,32.447,-7.603,20.025,12.422,33.834
2025-07-01,IEK,шт,28,seasonal364,1265,1265,127281.0,128161.614,35.102,0.692,17.205,17.897,33.834
2025-07-01,IEK,шт,28,seasonal_blend,1265,1265,127281.0,128161.614,35.102,0.692,17.205,17.897,33.834
2025-07-01,IEK,шт,28,selected_2025,1265,1265,127281.0,117603.589,32.447,-7.603,20.025,12.422,33.834
2025-07-01,IEK,м,28,sultan_mean59,89,89,65002.0,46546.915,51.472,-28.392,39.932,11.54,23.596
2025-07-01,IEK,м,28,mean28,89,89,65002.0,54620.0,52.592,-15.972,34.282,18.31,23.596
2025-07-01,IEK,м,28,weekly_ewma,89,89,65002.0,54173.745,46.333,-16.658,31.496,14.838,23.596
2025-07-01,IEK,м,28,robust_ewma,89,89,65002.0,43403.423,52.681,-33.228,42.954,9.727,23.596
2025-07-01,IEK,м,28,seasonal364,89,89,65002.0,54173.745,46.333,-16.658,31.496,14.838,23.596
2025-07-01,IEK,м,28,seasonal_blend,89,89,65002.0,54173.745,46.333,-16.658,31.496,14.838,23.596
2025-07-01,IEK,м,28,selected_2025,89,89,65002.0,43403.423,52.681,-33.228,42.954,9.727,23.596
2025-07-01,IEK,упак,28,sultan_mean59,57,57,3325.0,4066.169,44.953,22.291,11.331,33.622,36.842
2025-07-01,IEK,упак,28,mean28,57,57,3325.0,4337.0,59.429,30.436,14.496,44.932,36.842
2025-07-01,IEK,упак,28,weekly_ewma,57,57,3325.0,4327.669,49.341,30.155,9.593,39.748,36.842
2025-07-01,IEK,упак,28,robust_ewma,57,57,3325.0,3727.892,45.741,12.117,16.812,28.929,36.842
