phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
development_2025,IEK,шт,7,all,sultan_mean59,8789,1619,184350.0,197915.508,61.022,7.359,26.832,34.19,65.252,12.799336998675154
development_2025,IEK,шт,7,all,mean28,8789,1619,184350.0,202712.25,64.677,9.961,27.358,37.319,65.252,13.565963135737855
development_2025,IEK,шт,7,all,weekly_ewma,8789,1619,184350.0,204808.779,63.476,11.098,26.189,37.287,65.252,13.314143306566619
development_2025,IEK,шт,7,all,robust_ewma,8789,1619,184350.0,187339.933,59.21,1.622,28.794,30.416,65.252,12.419360704549087
development_2025,IEK,шт,7,all,baseline_selected,8789,1619,184350.0,187339.933,59.21,1.622,28.794,30.416,65.252,12.419360704549087
development_2025,IEK,шт,7,all,sba_selected,8789,1619,184350.0,222655.977,75.814,20.779,27.517,48.296,65.252,15.90199455330154
development_2025,IEK,шт,7,all,tsb_selected,8789,1619,184350.0,201616.201,61.515,9.366,26.075,35.441,65.252,12.902877750444896
development_2025,IEK,шт,7,intermittent,sultan_mean59,5658,1293,8670.0,6851.458,143.963,-20.975,82.469,61.494,83.987,2.206013983500189
development_2025,IEK,шт,7,intermittent,mean28,5658,1293,8670.0,6862.0,148.212,-20.854,84.533,63.679,83.987,2.2711205372923295
development_2025,IEK,шт,7,intermittent,weekly_ewma,5658,1293,8670.0,7067.219,148.541,-18.487,83.514,65.027,83.987,2.2761597223564403
development_2025,IEK,шт,7,intermittent,robust_ewma,5658,1293,8670.0,6383.22,143.264,-26.376,84.82,58.444,83.987,2.1952945144441185
development_2025,IEK,шт,7,intermittent,baseline_selected,5658,1293,8670.0,6383.22,143.264,-26.376,84.82,58.444,83.987,2.1952945144441185
development_2025,IEK,шт,7,intermittent,sba_selected,5658,1293,8670.0,37756.461,489.45,335.484,76.983,412.467,83.987,7.500061187995527
development_2025,IEK,шт,7,intermittent,tsb_selected,5658,1293,8670.0,7267.392,147.772,-16.178,81.975,65.797,83.987,2.2643725336560854
development_2025,IEK,шт,7,regular,sultan_mean59,3131,762,175680.0,191064.051,56.928,8.757,24.086,32.843,31.396,31.94242918004211
development_2025,IEK,шт,7,regular,mean28,3131,762,175680.0,195850.25,60.554,11.481,24.536,36.018,31.396,33.976764611945065
development_2025,IEK,шт,7,regular,weekly_ewma,3131,762,175680.0,197741.561,59.278,12.558,23.36,35.918,31.396,33.26077732747406
development_2025,IEK,шт,7,regular,robust_ewma,3131,762,175680.0,180956.714,55.062,3.004,26.029,29.033,31.396,30.895172427198062
development_2025,IEK,шт,7,regular,baseline_selected,3131,762,175680.0,180956.714,55.062,3.004,26.029,29.033,31.396,30.895172427198062
development_2025,IEK,шт,7,regular,sba_selected,3131,762,175680.0,184899.516,55.4,5.248,25.076,30.324,31.396,31.085047565406743
development_2025,IEK,шт,7,regular,tsb_selected,3131,762,175680.0,194348.809,57.258,10.627,23.316,33.943,31.396,32.127618253987244
development_2025,IEK,м,7,all,sultan_mean59,588,102,72010.0,81247.576,87.846,12.828,37.509,50.337,51.361,107.58120027672085
development_2025,IEK,м,7,all,mean28,588,102,72010.0,81195.75,89.56,12.756,38.402,51.158,51.361,109.68069727891157
development_2025,IEK,м,7,all,weekly_ewma,588,102,72010.0,82982.785,87.893,15.238,36.328,51.566,51.361,107.63959688322028
development_2025,IEK,м,7,all,robust_ewma,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361,97.59283961221267
development_2025,IEK,м,7,all,baseline_selected,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361,97.59283961221267
development_2025,IEK,м,7,all,sba_selected,588,102,72010.0,77656.093,84.944,7.841,38.552,46.392,51.361,104.02754707594465
development_2025,IEK,м,7,all,tsb_selected,588,102,72010.0,71409.812,82.817,-0.833,41.825,40.992,51.361,101.42278283848516
development_2025,IEK,м,7,regular,sultan_mean59,294,66,70649.0,79722.881,86.521,12.844,36.839,49.682,23.469,207.91185287674392
development_2025,IEK,м,7,regular,mean28,294,66,70649.0,79696.0,88.102,12.806,37.648,50.454,23.469,211.7108843537415
development_2025,IEK,м,7,regular,weekly_ewma,294,66,70649.0,81517.315,86.612,15.384,35.614,50.998,23.469,208.13087392937015
development_2025,IEK,м,7,regular,robust_ewma,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469,188.141470042224
development_2025,IEK,м,7,regular,baseline_selected,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469,188.141470042224
development_2025,IEK,м,7,regular,sba_selected,294,66,70649.0,75119.301,82.451,6.327,38.062,44.389,23.469,198.13292454526393
development_2025,IEK,м,7,regular,tsb_selected,294,66,70649.0,69184.544,80.642,-2.073,41.357,39.284,23.469,193.7844866537611
development_2025,IEK,упак,7,all,sultan_mean59,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11,8.272161597399581
development_2025,IEK,упак,7,all,mean28,365,65,5820.0,6063.0,61.16,4.175,28.492,32.668,64.11,9.752054794520548
development_2025,IEK,упак,7,all,weekly_ewma,365,65,5820.0,6089.726,57.894,4.634,26.63,31.264,64.11,9.231327066940509
development_2025,IEK,упак,7,all,robust_ewma,365,65,5820.0,5389.211,52.665,-7.402,30.033,22.631,64.11,8.397479949481324
development_2025,IEK,упак,7,all,baseline_selected,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11,8.272161597399581
development_2025,IEK,упак,7,all,sba_selected,365,65,5820.0,6089.347,56.351,4.628,25.862,30.49,64.11,8.985328692548352
development_2025,IEK,упак,7,all,tsb_selected,365,65,5820.0,5294.717,50.795,-9.025,29.91,20.885,64.11,8.099297504634862
development_2025,IEK,упак,7,intermittent,sultan_mean59,234,50,250.0,130.983,117.912,-47.607,82.759,35.153,83.333,1.2597421410980734
development_2025,IEK,упак,7,intermittent,mean28,234,50,250.0,151.75,122.5,-39.3,80.9,41.6,83.333,1.3087606837606838
development_2025,IEK,упак,7,intermittent,weekly_ewma,234,50,250.0,150.003,119.8,-39.999,79.9,39.901,83.333,1.2799191683688302
development_2025,IEK,упак,7,intermittent,robust_ewma,234,50,250.0,135.296,117.049,-45.882,81.465,35.584,83.333,1.2505255637569603
development_2025,IEK,упак,7,intermittent,baseline_selected,234,50,250.0,130.983,117.912,-47.607,82.759,35.153,83.333,1.2597421410980734
development_2025,IEK,упак,7,intermittent,sba_selected,234,50,250.0,376.411,196.656,50.564,73.046,123.61,83.333,2.1010280284518412
development_2025,IEK,упак,7,intermittent,tsb_selected,234,50,250.0,201.407,141.027,-19.437,80.232,60.795,83.333,1.5066970374281958
development_2025,IEK,м,7,intermittent,sultan_mean59,294,66,1361.0,1524.695,156.625,12.028,72.299,84.326,79.252,7.250547676697797
development_2025,IEK,м,7,intermittent,mean28,294,66,1361.0,1499.75,165.265,10.195,77.535,87.73,79.252,7.650510204081633
development_2025,IEK,м,7,intermittent,weekly_ewma,294,66,1361.0,1465.47,154.416,7.676,73.37,81.046,79.252,7.148319837070403
development_2025,IEK,м,7,intermittent,robust_ewma,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252,7.044209182201355
development_2025,IEK,м,7,intermittent,baseline_selected,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252,7.044209182201355
development_2025,IEK,м,7,intermittent,sba_selected,294,66,1361.0,2536.793,214.336,86.392,63.972,150.364,79.252,9.922169606625397
development_2025,IEK,м,7,intermittent,tsb_selected,294,66,1361.0,2225.268,195.735,63.502,66.116,129.619,79.252,9.061079023209258
development_2025,IEK,упак,7,regular,sultan_mean59,131,33,5570.0,5798.254,48.915,4.098,22.408,26.506,29.771,20.79816276361754
development_2025,IEK,упак,7,regular,mean28,131,33,5570.0,5911.25,58.407,6.127,26.14,32.267,29.771,24.833969465648856
development_2025,IEK,упак,7,regular,weekly_ewma,131,33,5570.0,5939.724,55.115,6.638,24.239,30.877,29.771,23.434605297976937
development_2025,IEK,упак,7,regular,robust_ewma,131,33,5570.0,5253.915,49.775,-5.675,27.725,22.05,29.771,21.163795417111107
development_2025,IEK,упак,7,regular,baseline_selected,131,33,5570.0,5798.254,48.915,4.098,22.408,26.506,29.771,20.79816276361754
development_2025,IEK,упак,7,regular,sba_selected,131,33,5570.0,5712.936,50.054,2.566,23.744,26.31,29.771,21.282476443682572
development_2025,IEK,упак,7,regular,tsb_selected,131,33,5570.0,5093.31,46.745,-8.558,27.651,19.093,29.771,19.875392995675778
development_2025,IEK,шт,28,all,sultan_mean59,8789,1619,798979.0,791662.034,36.804,-0.916,18.86,17.944,38.355,33.456927091067215
development_2025,IEK,шт,28,all,mean28,8789,1619,798979.0,810849.0,40.0,1.486,19.257,20.743,38.355,36.36227102059392
development_2025,IEK,шт,28,all,weekly_ewma,8789,1619,798979.0,819235.117,38.193,2.535,17.829,20.364,38.355,34.71961575830252
development_2025,IEK,шт,28,all,robust_ewma,8789,1619,798979.0,749359.734,36.057,-6.21,21.134,14.923,38.355,32.77849227185434
development_2025,IEK,шт,28,all,baseline_selected,8789,1619,798979.0,749359.734,36.057,-6.21,21.134,14.923,38.355,32.77849227185434
development_2025,IEK,шт,28,all,sba_selected,8789,1619,798979.0,890623.91,49.183,11.47,18.856,30.327,38.355,44.71060550739031
development_2025,IEK,шт,28,all,tsb_selected,8789,1619,798979.0,806464.804,36.033,0.937,17.548,18.485,38.355,32.75595883188107
development_2025,IEK,шт,28,intermittent,sultan_mean59,5658,1293,39220.0,27405.831,105.169,-30.123,67.646,37.523,56.698,7.290094721138811
development_2025,IEK,шт,28,intermittent,mean28,5658,1293,39220.0,27448.0,112.448,-30.015,71.232,41.216,56.698,7.79462707670555
development_2025,IEK,шт,28,intermittent,weekly_ewma,5658,1293,39220.0,28268.874,110.196,-27.922,69.059,41.137,56.698,7.638532637487682
development_2025,IEK,шт,28,intermittent,robust_ewma,5658,1293,39220.0,25532.879,107.709,-34.898,71.304,36.405,56.698,7.46615259049287
development_2025,IEK,шт,28,intermittent,baseline_selected,5658,1293,39220.0,25532.879,107.709,-34.898,71.304,36.405,56.698,7.46615259049287
development_2025,IEK,шт,28,intermittent,sba_selected,5658,1293,39220.0,151025.844,403.504,285.074,59.215,344.289,56.698,27.970031298971943
development_2025,IEK,шт,28,intermittent,tsb_selected,5658,1293,39220.0,29069.567,110.319,-25.881,68.1,42.219,56.698,7.647035623787968
development_2025,IEK,шт,28,regular,sultan_mean59,3131,762,759759.0,764256.203,33.274,0.592,16.341,16.933,5.206,80.74275831082288
development_2025,IEK,шт,28,regular,mean28,3131,762,759759.0,783401.0,36.26,3.112,16.574,19.686,5.206,87.98658575534972
development_2025,IEK,шт,28,regular,weekly_ewma,3131,762,759759.0,790966.242,34.476,4.108,15.184,19.292,5.206,83.65758072079703
development_2025,IEK,шт,28,regular,robust_ewma,3131,762,759759.0,723826.854,32.359,-4.729,18.544,13.815,5.206,78.52017796880203
development_2025,IEK,шт,28,regular,baseline_selected,3131,762,759759.0,723826.854,32.359,-4.729,18.544,13.815,5.206,78.52017796880203
development_2025,IEK,шт,28,regular,sba_selected,3131,762,759759.0,739598.065,30.892,-2.654,16.773,14.119,5.206,74.9623362232099
development_2025,IEK,шт,28,regular,tsb_selected,3131,762,759759.0,777395.237,32.198,2.321,14.938,17.26,5.206,78.13005257553827
